Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash
58,George Mason,Witkov & Wright,1512.3728242177729,70.84202897209069,58,1654.0568821619543,01b4a037e94c64e63f46c63bf6d1e23ef6e4702d89288735b0ad86fc6c28383c
59,CSU Long Beach,Escobar & Medina,1504.3469042737158,183.57623267154864,5,1871.499369616813,dbb326937eff67e3efecb73e313b21006aa58a7be1fd5cbb2d17cabd502bf58e
60,Emory,Tai & Taylor,1459.991760556616,156.81823613166952,6,1773.6282328199552,0b61f0b18edf82cb27b4cb5d0d84dacc11a2ac0005e9156c9c0e161a82a08d3f
61,Stanford,Lai & Yan,1456.624942226836,139.05052981961924,8,1734.7260018660745,e8a9efaa040f6a2c6025d48c2e795910f309995feab7626f3fc3dd7622c358a8
62,Kansas,Blaser & Suleman,1456.3762552177297,115.17591119563544,14,1686.7280776090006,215546c4b3f979f75d7bbcd5b83f766a40e6cc78d8b4ac609a9720d39dcdda54
63,Wichita State,Griffith & Molina Chavez,1453.733319074811,70.78071288347249,52,1595.294744841756,643a2f4d0b299a596023a7002aa0f02c0bbbb265887c9b180b6c8530ed9e32c0
64,Michigan,Cho & Saudek,1447.3671413678703,91.93191791725651,23,1631.2309772023834,dc2efd2af6c965a8a072fcf6c4a58c8b3d94e6574adc11512b259159810d0cfd
65,Western Kentucky,Carter & Fournier,1445.1284470497576,91.73699867753567,23,1628.602444404829,fa61c4a437bd4cd5cceb1ba9743c90b2e2f361e3b17531816ce8d9dbebe49402
66,Northwestern,Leonard & Lundberg,1444.7457903881636,76.67409386989215,46,1598.0939781279478,eee47582cdc1d4ea0e28060774a36130a8d9b55e77480b1caf875c73e86205ef
67,Northwestern,Arney & Patterson,1438.5654458226018,130.5407250155858,9,1699.6468958537735,d6675acbf61eab7b149abc7a72c58ace87f62c6dca030141e322880299354168
68,Kentucky,Rimpson & Schedler,1438.1000426516334,88.43487176607417,28,1614.9697861837817,d6177aa0817fc43cd7b34acaf95158f5d49ed0570b0c7d7c2b1b7c2873f4f0c7
69,Dartmouth,Jones & Rao,1436.7282033733384,70.63832440569139,47,1578.0048521847211,b57f027180262be7e705051b161ab352a4d70a5335634b4e3599a126b32e3ac1
70,George Mason,Davis & Esteves,1427.084643157999,76.00055173117677,39,1579.0857466203524,9a6a9e2210d0019f9e78a6f102cdca6735cb9329fa8e41e7a2b478f779adbf7c
71,Wake Forest,Dingley & Elliott,1424.1772833736136,78.41768627909248,38,1581.0126559317985,04f1765f6a1304a942d1244eb52442eb1948f322d56476e2f1e7d969abcf762c
72,Harvard,Aoki & Bodet,1421.8657901812371,89.5007678174621,24,1600.8673258161614,713d109d4f145c8231a2603e99eaf83c065e6b6b788dbb79efdf44e7e7df57b6
73,UTD,D'Antuono & Dickey,1420.9879081305317,78.94001754213359,35,1578.8679432147987,b6aaad9d02b8e5715389298850ed4db89b71834bc0d13b97fab3afaec27e2c30
74,Northwestern,Lee & Weisz,1418.859278410603,70.58706613228254,58,1560.0334106751682,93aeb73a4586475755fc80396f1ebcb19a56fe83d76f10f44eb42abd49a971d6
75,Wake Forest,Hale & Namikas,1413.8900599235308,75.94282615446055,45,1565.775712232452,70c31a627e475b5abc94e67355295b2cab92c3e908c64e03694b3e99e38db5aa
76,Kansas,Blaser & Chidambaranathan,1411.4900548945425,134.7393385520108,8,1680.968731998564,f89b4b2b4faf3bb8bade077055c7f298975ebd14ffb444d150f98d4250ad9f74
77,Georgia,Chapman & Kaidar-Heafetz,1410.0282539347506,74.00220185051536,45,1558.0326576357813,455181582e03abba98a79a716c340fbe58eac21db17ce64894a9a86049f5442b
78,Houston,Fernandez & Ibarra,1405.9585744748874,129.30913339795967,9,1664.5768412708069,d235db768d14aa329f1a37dc64c210ff64b9b48784eb6722e1201c9e52ef83c3
79,Emory,Okahata & Park,1399.0666472381197,106.68170901828555,15,1612.4300652746908,e056130b54487e25fb277ca91e5cde6d6e649c1c5c120c6152ab78e909c96a92
80,Kansas,Blaser & Terreros,1396.7230010685114,143.0927856153517,8,1682.9085722992147,c30796707b239ee248a2b4d91a12e69e51f372d27b15e46793ef816c0973491c
81,Dartmouth,Majhail & Ross,1395.817160842142,156.00220040687506,6,1707.821561655892,15725bd2b798a7268f1a808498fbba8c7644c4941fb9229ffeec55519cdcfc2e
82,Southern California,Bradley & Martin,1392.2358743813074,82.01579235724006,35,1556.2674590957874,601039c3abf51a32f01c659d8010da45c995fb822f9ba6f421748e8b75a6c4a8
83,Missouri State,Neal & Neal,1377.2525960675316,149.5426533336257,8,1676.337902734783,1d7733c8bcc8857868de0b2499c226d197c2f24f7d0db7b87d7a8002b2487218
84,Macalester,Kochel & Winters,1374.8692482374968,144.71124436500534,8,1664.2917369675074,75d5857b6bfe673224ec65b39eb7fcfb7f044caf2b688d0739860b9e7f1f85fa
85,Wake Forest,Leverett & Sampat,1374.362995636336,151.29047566768273,7,1676.9439469717015,66a30bf48e8ac1db16ebea8e477872a9af5a42307f8ebd989dff3adb8124959d
86,Southern California,Dollinger & Turner,1374.0327269820343,109.50525670950097,15,1593.0432404010362,a598cf707277b671c08a46adf27cb942d6d1d81a7c5236e7a467bc58f1ac0c05
87,Western Kentucky,Carter & Kumar,1371.0034932221884,95.00932931996451,21,1561.0221518621174,da01914488816692dab29707fb796f76b2faffe8a396c1ada0e8966bdeab666c
88,Wake Forest,Aderibigbe & Brown,1370.0424648577252,72.24777310049944,50,1514.5380110587241,b0ab007f9e9dfc0e0f486ed8b73072c25cfc5eefeadb36816cd7a995f1ad39ad
89,Emory,Charabuddi & Ravikumar,1365.1007016964063,71.02592472035518,53,1507.1525511371167,029e341fe47f58b550ea5ca5adc976eb39c91a249b5bffeb4195452202fc01f5
90,Kansas,Boyle & June,1360.7778744161528,85.36118434633305,27,1531.500243108819,93e278c1462d45fce8446271f4c3c2d44bf9604b176c6894cf7dc32e241334c4
91,Georgia,Cannon & Pack,1358.6166420741076,72.1575129180796,61,1502.931667910267,a859963999d97266a763f3801281bc5cd3cc18941449ed0330ca369fc6ea13d8
92,Georgetown,Greenberg & Tamfu,1358.4183568084763,76.18566798689913,46,1510.7896927822746,27d662cc1669b0a2712c53a45d72c9f6e5401fc1516a04f7454bb03f9c52a838
93,Kansas,LaPoint & Pace,1355.3980201485465,151.9281871033998,8,1659.254394355346,c7aa55ccc04d60ad54e4ca8c8b7b193476f58a804c1ad5a11e664f16e7458457
94,Southern California,Mills & Troup,1355.2823756148218,82.92399945527652,35,1521.130374525375,8e3b45f9ea479920eaf33c93dd1cdd0b6faede5b2cd66d6b2a319af26013a7f7
95,Liberty,Cunningham & Soares,1354.3433811574907,150.88558745932116,7,1656.114556076133,c15adf0bfe0a9a5dcc082661887f54b8d6a3ab00297b11f0333c814d6f9f25a3
96,Emory,Jindal & Ravikumar,1345.9858473314407,140.3257734200088,8,1626.6373941714583,97b4c4863408f776ca44b50a17d0c20204c9e7dc421aba8efd16d6ba1eced61a
97,Western Kentucky,Kumar & Ney,1341.7356122071967,80.12487427145008,34,1501.9853607500968,686cf02f82ed2b96cacb723f2eb9f75f92dd197137c572aa54c7cbf425eaf444
98,Kansas,Smith & Terreros,1340.610033328902,99.38194791711018,21,1539.3739291631225,15213faaff81f9c1a18b9ad019b275501265d2797457a3053e5df625c412c7d8
99,MoState,Neal & Siever,1325.1599525641461,94.62482454737736,22,1514.4096016589008,8850b9f78ad32cda97f5c847138991ed17510c657ed9d47c8e91955edffe144f
100,UC Berkeley,Gilrain-Lennon & Situ,1322.791050252731,81.55617412405144,36,1485.9033985008339,91da3fb46c024cec610795b4521a650eeac61f2a0ca2d4559ef722695170ff5a
101,Baylor,Benton & Keeler,1320.6624660046386,79.16069370547403,36,1478.9838534155867,18ed9c867c539ae83f82c3eac3825d5205c71926404150d4cedaa4f3fd3c2280
102,Liberty,Soares & Spencer,1318.5722730670402,100.6201497816743,20,1519.8125726303888,6b4a3eba752977e6422125dc6346b61f977b040741ff6c44af0094ef3918f364
103,Georgetown,Lastelick & Nanji,1317.9287187326481,70.4479298140522,59,1458.8245783607524,de22fee965f9ca3f7c089124687ffce776fd5e89441afee151550c16f72b7ef7
104,UTD,Hoch & Humphrey,1317.456440615484,84.82861533956736,28,1487.1136712946188,f7a324f549c53b8544954266344f249ec2eb6b5d7046640e7d61c64f4dc418e5
105,Kansas,Chaudhry & Falin,1314.1970008528651,98.38630998221942,21,1510.969620817304,37605e90ea0140f91a4dac8922b1f041cf5cb325b6840b68fe426ff41fb649d2
106,Dartmouth,Ben-Abdallah & Carpenter,1312.7342192866981,78.43211680878527,36,1469.5984529042687,7194536a4699743c7b7c4d12c07c5f2d79ac112cb9864824dd73bd3be588d555
107,"Massachusetts, Amherst",Levitan & Moussavou,1312.299210164048,109.21412881785706,15,1530.727467799762,c7bff30313e90b1804aeb51f86075e8d80f04f8c4e08daffb1498f8b6fbf9fbd
108,James Madison,Matzen & Oehler,1306.360311465761,82.88710020903804,32,1472.1345118838371,f4044ea855783d57774881362f5ff016962d80acf681e90f4087d3e441fe48ac
109,Harvard,Jin & Synn,1305.0212236913455,111.84679008278731,14,1528.71480385692,3559310b1c640e7fb354f599a0116d5695ae4e2bc6fe223f816a0b1d6bbf3358
110,Kansas,Chaudhry & Terreros,1304.1785206416623,141.51829993520434,6,1587.215120512071,526d0c5469b2a66f32de26595100c54d11fcddb5b63dca86eb8c346162d4ddc1
111,Minnesota,Haber-Fawcett & Usenov,1301.618617155398,70.01020940178115,58,1441.6390359589602,ae6c4a012c02617224f5be72ba5d62cd04d9e687f4e12be174ec78cf4af12fd6
112,Gonzaga,Roe & Wellman,1299.791101740166,80.02708262866476,36,1459.8452669974954,4689d9df5f744a8b066aa9d013bd7103dff67eaa4c4525677872ebed8415cbe5
113,Kansas,Bath & McConnell,1289.612281721977,84.99176032960662,28,1459.5958023811902,9d3420edb226ad18f8c0b55aa7f0fd50917c42e49a1728eb58cd90b857b861f2
114,Wyoming,Widi & Willson,1288.5520603769744,71.09697710238306,65,1430.7460145817406,1d8b8e25c69135d32ac3a5ffe9b720d36ca326a5ba5b57447d1bae08d2f05a82
115,Kansas State,Robertson & Sum,1283.4364749024517,110.26894467832638,13,1503.9743642591045,1d9a99dca1a776a1d9fa09b8f10c17b9840e61dc6324c66b45fdabe60d16b905
116,Iowa,Kleiman & Severson,1278.9744721292352,81.88167228617303,36,1442.7378167015813,9978118f4b01f14328fcce54b107a6b6b8df8025ec0eb4e3eeaf39dd2cfbe1a2
117,Southern California,Agrawal & Sood,1278.279086576419,149.5137709516327,7,1577.3066284796846,be38a85f907687dd19c2f9fbd780043c96ee203410eca66c6ab8bd2f6d264ab3
118,Gonzaga,Weinhardt & Wellman,1277.9286617146092,133.57352926012416,8,1545.0757202348575,28a026876650a872f444a280c44e917fd30ea2d0da43c14ee5d79b4c4b318f3e
119,NYU,Jain & Theiding,1276.9227313638175,77.88185377185171,41,1432.686438907521,b38b81c7b58f67e050f0ed296d5e3b09e04f155501b5d5cb02a8e7959e6a39d5
120,Western Kentucky,Schintgen & StPeter,1273.9538529099632,81.80166221303722,35,1437.5571773360377,adf0b4505edd96a0d88e2898c061f63062cea30a904a4a50dfc430c4effa17cc
121,George Mason,Richter & Taxali,1270.1567059318866,75.60130040054106,40,1421.3593067329687,f7741b1a6034d4f7cae5287b5e00fd4b9156be7a83cde906c67bbd4f3d1bcde0
